Capacity_mAh_g,Voltage_V,Process,Cycle,C_Rate
0.0,1.2184309250064373,Discharge,1,10.0
1.0552763819095476,1.6489757651433428,Discharge,1,10.0
2.1105527638190953,2.0878305526014396,Discharge,1,10.0
3.165829145728643,2.077047979608929,Discharge,1,10.0
4.221105527638191,2.0881570291922786,Discharge,1,10.0
5.276381909547739,2.0785347764653705,Discharge,1,10.0
6.331658291457286,2.0772194146547243,Discharge,1,10.0
7.386934673366834,2.072791854737877,Discharge,1,10.0
8.442211055276381,2.0567883143548675,Discharge,1,10.0
9.49748743718593,2.0481837087374446,Discharge,1,10.0
10.552763819095478,2.049183775183058,Discharge,1,10.0
11.608040201005025,2.0386191741741784,Discharge,1,10.0
12.663316582914572,2.040595360648134,Discharge,1,10.0
13.718592964824122,2.0420953693777633,Discharge,1,10.0
14.773869346733669,2.0282977620125413,Discharge,1,10.0
15.829145728643217,2.02541903906069,Discharge,1,10.0
16.884422110552762,2.018748760341505,Discharge,1,10.0
17.93969849246231,2.0197726663786533,Discharge,1,10.0
18.99497487437186,2.0048262521537246,Discharge,1,10.0
20.050251256281406,1.98948748313745,Discharge,1,10.0
21.105527638190956,2.0024582934043367,Discharge,1,10.0
22.160804020100503,2.000921049293894,Discharge,1,10.0
23.21608040201005,1.9922427810167613,Discharge,1,10.0
24.271356783919597,1.9798865121373934,Discharge,1,10.0
25.326633165829143,1.9715231765113455,Discharge,1,10.0
26.38190954773869,1.977492084025419,Discharge,1,10.0
27.437185929648244,1.9700852001773366,Discharge,1,10.0
28.49246231155779,1.9632568372065164,Discharge,1,10.0
29.547738693467338,1.9713762737932716,Discharge,1,10.0
30.603015075376884,1.9476673837688128,Discharge,1,10.0
31.658291457286435,1.9610060449530449,Discharge,1,10.0
32.71356783919598,1.9442194776108164,Discharge,1,10.0
33.768844221105525,1.926595619466104,Discharge,1,10.0
34.824120603015075,1.932745734782815,Discharge,1,10.0
35.87939698492462,1.9354032219827886,Discharge,1,10.0
36.934673366834176,1.9214415681331802,Discharge,1,10.0
37.98994974874372,1.9089293207316858,Discharge,1,10.0
39.04522613065327,1.9127443306142229,Discharge,1,10.0
40.10050251256281,1.6911866601029417,Discharge,1,10.0
41.15577889447236,1.484107147213614,Discharge,1,10.0
42.21105527638191,1.2705295707051691,Discharge,1,10.0
43.266331658291456,1.043411217649943,Discharge,1,10.0
44.321608040201006,0.8317054046611051,Discharge,1,10.0
45.37688442211055,0.8400647528236987,Discharge,1,10.0
46.4321608040201,0.8276577920995193,Discharge,1,10.0
47.48743718592965,0.8246435925873968,Discharge,1,10.0
48.54271356783919,0.8224847626712344,Discharge,1,10.0
49.597989949748744,0.8313048065055532,Discharge,1,10.0
50.65326633165829,0.8295079584902587,Discharge,1,10.0
51.708542713567844,0.8212994386520159,Discharge,1,10.0
52.76381909547738,0.8244413572190229,Discharge,1,10.0
53.81909547738694,0.83320281992349,Discharge,1,10.0
54.87437185929649,0.8148201480315235,Discharge,1,10.0
55.929648241206024,0.8067163478336757,Discharge,1,10.0
56.98492462311558,0.8214472161071296,Discharge,1,10.0
58.04020100502513,0.8161244999734495,Discharge,1,10.0
59.095477386934675,0.8105713984171147,Discharge,1,10.0
60.150753768844226,0.8182537610531153,Discharge,1,10.0
61.20603015075377,0.8180088592371887,Discharge,1,10.0
62.26130653266332,0.7959403195295425,Discharge,1,10.0
63.31658291457287,0.8049286993733009,Discharge,1,10.0
64.37185929648241,0.8234600327026382,Discharge,1,10.0
65.42713567839196,0.8102527315251186,Discharge,1,10.0
66.4824120603015,0.8093706168526885,Discharge,1,10.0
67.53768844221105,0.8112148438081225,Discharge,1,10.0
68.59296482412061,0.8019091421150252,Discharge,1,10.0
69.64824120603015,0.8056615407119281,Discharge,1,10.0
70.7035175879397,0.8036235525518125,Discharge,1,10.0
71.75879396984924,0.8009081927114853,Discharge,1,10.0
72.8140703517588,0.7935912690682753,Discharge,1,10.0
73.86934673366835,0.7954171463361946,Discharge,1,10.0
74.92462311557789,0.7887791768425264,Discharge,1,10.0
75.97989949748744,0.7913276737458087,Discharge,1,10.0
77.03517587939697,0.781850064420858,Discharge,1,10.0
78.09045226130654,0.7828919324889904,Discharge,1,10.0
79.14572864321609,0.7848138918191272,Discharge,1,10.0
80.20100502512562,0.7788440418432696,Discharge,1,10.0
81.25628140703517,0.7802962609362378,Discharge,1,10.0
82.31155778894473,0.7810900100408783,Discharge,1,10.0
83.36683417085428,0.7834024517228881,Discharge,1,10.0
84.42211055276383,0.7855853989369983,Discharge,1,10.0
85.47738693467336,0.7745443017646816,Discharge,1,10.0
86.53266331658291,0.7851735718597892,Discharge,1,10.0
87.58793969849246,0.7809909575566687,Discharge,1,10.0
88.64321608040201,0.7765518035567729,Discharge,1,10.0
89.69849246231156,0.7726798731672594,Discharge,1,10.0
