Capacity_mAh_g,Voltage_V,Process,Cycle,C_Rate
0.0,1.2628439833914518,Discharge,5,1.0
1.9401556418273158,1.6997704864675625,Discharge,5,1.0
3.8803112836546316,2.142089878532202,Discharge,5,1.0
5.820466925481947,2.146369083521094,Discharge,5,1.0
7.760622567309263,2.1286705769118353,Discharge,5,1.0
9.70077820913658,2.121329706776127,Discharge,5,1.0
11.640933850963894,2.1160154030113363,Discharge,5,1.0
13.581089492791211,2.113601022822727,Discharge,5,1.0
15.521245134618527,2.102092168159112,Discharge,5,1.0
17.461400776445842,2.1035222811170127,Discharge,5,1.0
19.40155641827316,2.100747243097579,Discharge,5,1.0
21.341712060100477,2.0940810629361795,Discharge,5,1.0
23.281867701927787,2.090742792063074,Discharge,5,1.0
25.222023343755108,2.0855557272820717,Discharge,5,1.0
27.162178985582422,2.0655194520098514,Discharge,5,1.0
29.10233462740974,2.0768878852344956,Discharge,5,1.0
31.042490269237053,2.0629615702405197,Discharge,5,1.0
32.98264591106437,2.0550451799490976,Discharge,5,1.0
34.922801552891684,2.0499614383413056,Discharge,5,1.0
36.862957194719,2.0554035715283443,Discharge,5,1.0
38.80311283654632,2.0459130551892613,Discharge,5,1.0
40.74326847837363,2.030955602913091,Discharge,5,1.0
42.683424120200954,2.040631026424272,Discharge,5,1.0
44.623579762028264,2.0225548071228086,Discharge,5,1.0
46.563735403855574,2.0282789453296197,Discharge,5,1.0
48.50389104568289,2.023925398401962,Discharge,5,1.0
50.444046687510216,2.023304150166234,Discharge,5,1.0
52.384202329337526,2.0243777444925315,Discharge,5,1.0
54.324357971164844,1.9979391490351712,Discharge,5,1.0
56.264513612992154,2.00184459653395,Discharge,5,1.0
58.20466925481948,1.9952959171882443,Discharge,5,1.0
60.144824896646796,1.9951034801085252,Discharge,5,1.0
62.084980538474106,1.9885941417891233,Discharge,5,1.0
64.02513618030142,1.9797018646748068,Discharge,5,1.0
65.96529182212873,1.9740754071226945,Discharge,5,1.0
67.90544746395605,1.9644526398147817,Discharge,5,1.0
69.84560310578337,1.9737490206140107,Discharge,5,1.0
71.78575874761069,1.965125964265942,Discharge,5,1.0
73.725914389438,1.7513624320897876,Discharge,5,1.0
75.66607003126532,1.5268229002583595,Discharge,5,1.0
77.60622567309264,1.3089877203294344,Discharge,5,1.0
79.54638131491996,1.091345349773945,Discharge,5,1.0
81.48653695674726,0.8870565001686365,Discharge,5,1.0
83.42669259857458,0.8760296318557024,Discharge,5,1.0
85.36684824040191,0.8941803182187362,Discharge,5,1.0
87.30700388222921,0.8711916302758974,Discharge,5,1.0
89.24715952405653,0.8804461051011384,Discharge,5,1.0
91.18731516588385,0.8877397769066184,Discharge,5,1.0
93.12747080771115,0.879645835186787,Discharge,5,1.0
95.06762644953848,0.8752566172274053,Discharge,5,1.0
97.00778209136578,0.8659621859747637,Discharge,5,1.0
98.9479377331931,0.8616419140959446,Discharge,5,1.0
100.88809337502043,0.8747792044990762,Discharge,5,1.0
102.82824901684774,0.8782813885690316,Discharge,5,1.0
104.76840465867505,0.8635366101310632,Discharge,5,1.0
106.70856030050238,0.8572635806059165,Discharge,5,1.0
108.64871594232969,0.8467784727338823,Discharge,5,1.0
110.588871584157,0.8553258389223318,Discharge,5,1.0
112.52902722598431,0.8597196553246852,Discharge,5,1.0
114.46918286781164,0.8698689374762907,Discharge,5,1.0
116.40933850963896,0.8620593103095432,Discharge,5,1.0
118.34949415146626,0.8580469136366508,Discharge,5,1.0
120.28964979329359,0.8517398990715664,Discharge,5,1.0
122.2298054351209,0.8489865885501398,Discharge,5,1.0
124.16996107694821,0.861014494630135,Discharge,5,1.0
126.11011671877554,0.8513066001446795,Discharge,5,1.0
128.05027236060283,0.8341230216573708,Discharge,5,1.0
129.99042800243015,0.8423413718938818,Discharge,5,1.0
131.93058364425747,0.8395769657046439,Discharge,5,1.0
133.87073928608478,0.8401925076581814,Discharge,5,1.0
135.8108949279121,0.8462337787274216,Discharge,5,1.0
137.75105056973942,0.8401639426687312,Discharge,5,1.0
139.69120621156674,0.8388645224332565,Discharge,5,1.0
141.63136185339405,0.8468193356708688,Discharge,5,1.0
143.57151749522137,0.831632609577852,Discharge,5,1.0
145.5116731370487,0.8475523877245428,Discharge,5,1.0
147.451828778876,0.8287887236036413,Discharge,5,1.0
149.39198442070332,0.8324570278368155,Discharge,5,1.0
151.33214006253064,0.8284286137089738,Discharge,5,1.0
153.27229570435796,0.8296748529355651,Discharge,5,1.0
155.21245134618528,0.8303531499735333,Discharge,5,1.0
157.15260698801256,0.8287724040804098,Discharge,5,1.0
159.0927626298399,0.8191867176500143,Discharge,5,1.0
161.03291827166723,0.815162417248583,Discharge,5,1.0
162.97307391349452,0.8383332589371987,Discharge,5,1.0
164.91322955532186,0.8164957669328531,Discharge,5,1.0
166.85338519714915,0.8230408168555337,Discharge,5,1.0
168.79354083897647,0.8058333193104031,Discharge,5,1.0
170.73369648080381,0.8133640639875073,Discharge,5,1.0
172.6738521226311,0.8128938193032003,Discharge,5,1.0
174.61400776445842,0.8154698533813299,Discharge,5,1.0
176.55416340628574,0.7922159876648304,Discharge,5,1.0
178.49431904811306,0.810367616361325,Discharge,5,1.0
180.43447468994037,0.7999044629742502,Discharge,5,1.0
182.3746303317677,0.808429251499973,Discharge,5,1.0
184.314785973595,0.7976612474982349,Discharge,5,1.0
186.2549416154223,0.7973845129352793,Discharge,5,1.0
188.19509725724964,0.799836958183967,Discharge,5,1.0
190.13525289907696,0.7930297399526255,Discharge,5,1.0
192.07540854090425,0.7954477474825232,Discharge,5,1.0
194.01556418273157,0.7890547332267916,Discharge,5,1.0
195.95571982455888,0.783192887925408,Discharge,5,1.0
197.8958754663862,0.8010895224246163,Discharge,5,1.0
199.83603110821355,0.7838333499034297,Discharge,5,1.0
201.77618675004086,0.7899303817258057,Discharge,5,1.0
203.71634239186815,0.7947629262916529,Discharge,5,1.0
205.65649803369547,0.7839461909624794,Discharge,5,1.0
207.5966536755228,0.7810079280801859,Discharge,5,1.0
209.5368093173501,0.7866560240841719,Discharge,5,1.0
211.47696495917745,0.7912171794084539,Discharge,5,1.0
213.41712060100477,0.7741431070519823,Discharge,5,1.0
215.35727624283203,0.779571807862409,Discharge,5,1.0
217.29743188465937,0.7672951519902323,Discharge,5,1.0
219.2375875264867,0.774902563884889,Discharge,5,1.0
221.177743168314,0.7763038591252441,Discharge,5,1.0
223.11789881014133,0.7687471365905073,Discharge,5,1.0
225.05805445196862,0.7699458038898666,Discharge,5,1.0
226.99821009379593,0.7619643619537619,Discharge,5,1.0
228.93836573562328,0.770565499270909,Discharge,5,1.0
230.8785213774506,0.7757182131173826,Discharge,5,1.0
232.8186770192779,0.7595589134554724,Discharge,5,1.0
234.7588326611052,0.7612805327849995,Discharge,5,1.0
236.69898830293252,0.7674309914651563,Discharge,5,1.0
238.63914394475984,0.7707524637408082,Discharge,5,1.0
240.57929958658718,0.750833357585598,Discharge,5,1.0
242.5194552284145,0.7583394413785776,Discharge,5,1.0
244.4596108702418,0.7599075456327313,Discharge,5,1.0
246.3997665120691,0.7557785050498345,Discharge,5,1.0
248.33992215389642,0.7381090174326851,Discharge,5,1.0
250.28007779572374,0.7568683168033241,Discharge,5,1.0
252.2202334375511,0.7622907488608065,Discharge,5,1.0
254.16038907937835,0.7512369038182717,Discharge,5,1.0
256.10054472120567,0.7419179006387173,Discharge,5,1.0
258.040700363033,0.7439356174135254,Discharge,5,1.0
259.9808560048603,0.7579659703667496,Discharge,5,1.0
261.92101164668765,0.7506057908477926,Discharge,5,1.0
263.86116728851493,0.7472611262291176,Discharge,5,1.0
265.8013229303423,0.7438233712637929,Discharge,5,1.0
267.74147857216957,0.6083554291760934,Discharge,5,1.0
269.6816342139969,0.4828969788997561,Discharge,5,1.0
271.6217898558242,0.3550884822562928,Discharge,5,1.0
273.5619454976515,0.23066562744803326,Discharge,5,1.0
275.50210113947884,0.10845100562670593,Discharge,5,1.0
277.4422567813062,0.10403400143643306,Discharge,5,1.0
279.3824124231335,0.08500400365708145,Discharge,5,1.0
281.3225680649608,0.09442970260797205,Discharge,5,1.0
283.2627237067881,0.0961607020097127,Discharge,5,1.0
285.2028793486154,0.09359948499787674,Discharge,5,1.0
287.14303499044274,0.08334642598298107,Discharge,5,1.0
289.0831906322701,0.10570287666209671,Discharge,5,1.0
291.0233462740974,0.0754197022061763,Discharge,5,1.0
292.9635019159247,0.07498052428627015,Discharge,5,1.0
294.903657557752,0.08218348115807028,Discharge,5,1.0
296.8438131995793,0.09324140328876969,Discharge,5,1.0
